skin_type,symptom_1,symptom_2,disease,recommended_ingredient,recommended_product_type
dry,red patches,red patches,eczema,shea butter,repair cream
normal,oily skin,whiteheads,acne,salicylic acid,cleanser
sensitive,facial redness,facial redness,rosacea,azelaic acid,soothing gel
sensitive,skin cracking,skin cracking,eczema,ceramides,repair cream
oily,red patches,skin cracking,eczema,colloidal oatmeal,repair cream
sensitive,uneven skin tone,dark spots,hyperpigmentation,alpha arbutin,essence
dry,whiteheads,oily skin,acne,salicylic acid,spot treatment
normal,red patches,irritation,eczema,shea butter,balm
combination,uneven skin tone,dark spots,hyperpigmentation,kojic acid,treatment cream
normal,clogged pores,pimples,acne,benzoyl peroxide,serum
sensitive,sun spots,sun spots,hyperpigmentation,vitamin c,brightening serum
combination,visible blood vessels,facial redness,rosacea,green tea extract,serum
dry,flaky skin,tight skin,dry skin,ceramides,cream
combination,whiteheads,clogged pores,acne,benzoyl peroxide,cleanser
oily,facial redness,visible blood vessels,rosacea,azelaic acid,calming cream
oily,uneven skin tone,uneven skin tone,hyperpigmentation,vitamin c,essence
normal,sun spots,uneven skin tone,hyperpigmentation,alpha arbutin,essence
dry,dullness,dullness,dry skin,hyaluronic acid,moisturizer
sensitive,burning sensation,burning sensation,rosacea,centella asiatica,calming cream
oily,blackheads,blackheads,acne,salicylic acid,serum
sensitive,whiteheads,clogged pores,acne,salicylic acid,spot treatment
sensitive,dullness,dullness,dry skin,hyaluronic acid,moisturizer
dry,pimples,clogged pores,acne,benzoyl peroxide,cleanser
oily,dry itchy skin,red patches,eczema,ceramides,balm
sensitive,dullness,dullness,dry skin,glycerin,moisturizer
normal,skin cracking,irritation,eczema,colloidal oatmeal,balm
dry,red patches,red patches,eczema,colloidal oatmeal,repair cream
dry,tight skin,flaky skin,dry skin,hyaluronic acid,cream
combination,dry itchy skin,irritation,eczema,shea butter,moisturizer
combination,burning sensation,facial redness,rosacea,green tea extract,serum
combination,dry itchy skin,irritation,eczema,shea butter,repair cream
normal,dullness,dullness,dry skin,ceramides,hydrating serum
combination,flaky skin,flaky skin,dry skin,hyaluronic acid,hydrating serum
sensitive,dark spots,uneven skin tone,hyperpigmentation,kojic acid,essence
sensitive,dullness,tight skin,dry skin,hyaluronic acid,hydrating serum
combination,dry itchy skin,red patches,eczema,colloidal oatmeal,balm
oily,skin cracking,dry itchy skin,eczema,colloidal oatmeal,balm
combination,dullness,flaky skin,dry skin,hyaluronic acid,moisturizer
dry,dry itchy skin,irritation,eczema,colloidal oatmeal,balm
sensitive,flaky skin,dullness,dry skin,glycerin,cream
dry,pimples,pimples,acne,benzoyl peroxide,serum
oily,visible blood vessels,burning sensation,rosacea,green tea extract,calming cream
dry,skin cracking,red patches,eczema,shea butter,balm
combination,clogged pores,oily skin,acne,benzoyl peroxide,cleanser
oily,irritation,red patches,eczema,ceramides,moisturizer
oily,dark spots,dark spots,hyperpigmentation,alpha arbutin,treatment cream
normal,sun spots,sun spots,hyperpigmentation,kojic acid,brightening serum
oily,clogged pores,oily skin,acne,niacinamide,spot treatment
dry,visible blood vessels,visible blood vessels,rosacea,azelaic acid,soothing gel
sensitive,facial redness,visible blood vessels,rosacea,green tea extract,serum
dry,dullness,dullness,dry skin,hyaluronic acid,moisturizer
dry,blackheads,blackheads,acne,salicylic acid,serum
